Item,Descrição,Embalagem,TIPO
2581,PAO LEVAIN MINI BAGUETE C/2UN CONG - 200g,,RESFRIADO
2836,PAPPARDELLE C/ALMONDEGA ALVORADA CONG. - 600g,,RESFRIADO
1920,PARMEGIANA DE FRANGO CONG. ALVORADA  - 400g,,RESFRIADO
2678,PASTEL ASSADO DE FRANGO UN - 1un,10,RESFRIADO
267250,PASTEL DE FARINHA DE MILHO CARNE 100g - 100g,10,RESFRIADO
267251,PASTEL DE FARINHA DE MILHO QUEIJO 100g - 100g,10,RESFRIADO
8406,PASTEL DE MILHO CARNE KG - 1,5,RESFRIADO
8408,PASTEL DE MILHO PIZZA KG - 1,5,RESFRIADO
8407,PASTEL DE MILHO QUEIJO KG - 1,5,RESFRIADO
9371,PASTEL DE NATA UN - 75g,48,RESFRIADO
7636,PIZZA CALABRESA ALVORADA CONG.500G - 500g,,RESFRIADO
7645,PIZZA DA CASA ALVORADA CONG 500G - 500g,,RESFRIADO
7637,PIZZA FRANGO C/REQUEIJAO ALVO CONG 500G - 500g,,RESFRIADO
7639,PIZZA PRESUNTO E QUEIJO CONG. ALVORADA - 500g,,RESFRIADO
1923,QUIBE DE CARNE C/ REQUEIJAO MINI  KG - 1,3,RESFRIADO
2496,QUIBE DE CARNE GRANDE UN - 100g,25,RESFRIADO
1875,QUIBE DE CARNE MINI  KG - 1,3,RESFRIADO
5338,QUIBE DE CARNE MINI ALVORADA CONG - 1KG - 1kg,,RESFRIADO
8803,QUIBE DE CARNE MINI BDJ CONG - 300g,,RESFRIADO
7822,STROGONOFF DE CARNE ALVORADA CONG. - 600g,,RESFRIADO
7926,STROGONOFF DE CARNE E ARROZ CONG. 450G - 450g,,RESFRIADO
7824,STROGONOFF DE FRANGO ALVORADA CONG. 600G - 600g,,RESFRIADO
7927,STROGONOFF DE FRANGO E ARROZ CONG. 450G - 450g,,RESFRIADO
5291,TORTA DE FRANGO C/CATUPIRY KG - 1,,RESFRIADO
2911,TORTA GOURMET BUENO ALVORADA UN - 450g,,RESFRIADO
2909,TORTA GOURMET DE CREME MORANGO UN - 500g,,RESFRIADO
2919,TORTA GOURMET LEITINHO C/COOKIES - 500g,,RESFRIADO
5597,TORTA GOURMET LIMÃO UN  - 450g,,RESFRIADO
2544,TORTA HOLANDESA ALVORADA UN - 400g,,RESFRIADO
9988,BISC. AMANTEIGADO BEIJINHO DE COCO UN - 200g,,PRODUTO
9960,BISC. AMANTEIGADO BEIJINHO DE FREIRA UN - 200g,,PRODUTO
267039,BISC. AMANTEIGADO BELISCAO UN  - 200g,,PRODUTO
267141,BISC. AMANTEIGADO BELISCAO UN - 200g,,PRODUTO
9959,BISC. AMANTEIGADO BRANCA DE NEVE UN - 200g,,PRODUTO
267040,BISC. AMANTEIGADO BRIGADEIRO UN - 200g,,PRODUTO
267041,BISC. AMANTEIGADO CHOCOFESTA UN - 200g,,PRODUTO
267070,BISC. AMANTEIGADO CORAÇAO DE LEITE NINHO - 200g,,PRODUTO
1994,BISC. AMANTEIGADO DIVERSOS UN - 200g,,PRODUTO
267042,BISC. AMANTEIGADO FEITIÇO UN - 200g,,PRODUTO
267043,BISC. AMANTEIGADO JUJU UN - 200g,,PRODUTO
267045,BISC. AMANTEIGADO MORENINHA UN - 200g,,PRODUTO
267044,BISC. AMANTEIGADO NEGRESCO UN - 200g,,PRODUTO
267046,BISC. AMANTEIGADO OURO BRANCO UN - 200g,,PRODUTO
267048,BISC. AMANTEIGADO PALITO CHOC. BRANCO UN - 200g,,PRODUTO
267047,BISC. AMANTEIGADO PALITO DE CHOCOLATE UN - 200g,,PRODUTO
267049,BISC. AMANTEIGADO PAO DE MEL UN - 200g,,PRODUTO
267050,BISC. AMANTEIGADO PRESTIGIO UN - 200g,,PRODUTO
267051,BISC. AMANTEIGADO PRESTOCOCO UN - 200g,,PRODUTO
267052,BISC. AMANTEIGADO ROSCA DE COCO UN - 200g,,PRODUTO
267053,BISC. AMANTEIGADO ROSCA DE FLOCOS UN - 200g,,PRODUTO
267054,BISC. AMANTEIGADO ROSCA DE NATA UN - 200g,,PRODUTO
267055,BISC. AMANTEIGADO SEQUILHO LEITE COND UN - 200g,,PRODUTO
5365,BISCOITO DE POLVILHO ARGOLA UN  - 200g,,PRODUTO
2843,BISCOITO DE POLVILHO BOLINHA QUEIJO KG - 1,,PRODUTO
5366,BISCOITO DE POLVILHO BOLINHA QUEIJO UN - 200g,,PRODUTO
5360,BISCOITO DE POLVILHO KG - 1,,PRODUTO
5367,BISCOITO DE POLVILHO PALITO UN - 200g,,PRODUTO
2695,MASSA P/PIZZA ALVORADA C/2UN - 480g,,PRODUTO
5826,BOLO CASEIRO LARANJA UN - 250g,,PRODUTO
6361,BOLO CASEIRO TANGERINA CD - 250g,,PRODUTO
2490,BOLO CREMOSO ABACAXI UN - 300g,,PRODUTO
2498,BOLO CREMOSO ABOBORA C/COCO UN - 300g,,PRODUTO
2176,BOLO CREMOSO AIPIM UN - 300g,,PRODUTO
2488,BOLO CREMOSO BANANA C/GRANOLA UN - 300g,,PRODUTO
2177,BOLO CREMOSO CACAROLA UN - 300g,,PRODUTO
2486,BOLO CREMOSO CENOURA UN - 300g,,PRODUTO
2192,BOLO CREMOSO CHOCOLATE UN - 300g,,PRODUTO
2184,BOLO CREMOSO CHURROS UN  - 300g,,PRODUTO
2187,BOLO CREMOSO COCO UN - 300g,,PRODUTO
2188,BOLO CREMOSO FRUTAS VERMELHAS UN - 270g,,PRODUTO
2189,BOLO CREMOSO LARANJA UN - 300g,,PRODUTO
7942,BOLO CREMOSO LEITE CONDENSADO UN - 300g,,PRODUTO
2107,BOLO CREMOSO MARACUJA UN - 300g,,PRODUTO
2190,BOLO CREMOSO MILHO UN - 300g,,PRODUTO
2247,BOLO CREMOSO RED VELVET C/COBERTURA UN - 270g,,PRODUTO
2786,BOLO DE ABACAXI UN - 300g,,PRODUTO
2749,BOLO DE BANANA UN - 350g,,PRODUTO
2806,BOLO DE CENOURA C/COBERTURA UN - 180g,,PRODUTO
2696,BOLO DE CENOURA UN - 300g,,PRODUTO
2808,BOLO DE CHOCOLATE C/COBERTURA UN - 180g,,PRODUTO
2699,BOLO DE CHOCOLATE UN - 300g,,PRODUTO
2807,BOLO DE COCO C/COBERTURA UN - 180g,,PRODUTO
2792,BOLO DE COCO UN - 300g,,PRODUTO
2805,BOLO DE FUBA UN - 300g,,PRODUTO
2789,BOLO DE LARANJA UN - 300g,,PRODUTO
2813,BOLO DE LEITE CONDENSADO UN - 300g,,PRODUTO
2809,BOLO DE LIMAO C/COBERTURA UN - 180g,,PRODUTO
2779,BOLO DE LIMAO UN - 300g,,PRODUTO
2791,BOLO DE MILHO UN - 300g,,PRODUTO
2755,BOLO FORMIGUEIRO UN - 300g,,PRODUTO
2484,BOLO INGLES CHOCOLATE UN 200G - 200g,,PRODUTO
8120,BOLO INGLES FORMIGUEIRO UN 200G - 200g,,PRODUTO
6517,BOLO INGLES LARANJA UN 200G  - 200g,,PRODUTO
8855,BOLO INGLES MESCLADO UN  200G - 200g,,PRODUTO
4438,BOLO INGLES MILHO UN 200G - 200g,,PRODUTO
2915,BOLO NEUTRO UN - 300g,,PRODUTO
4127,BOLO REDONDO ABACAXI UN - 280g,,PRODUTO
4531,BOLO REDONDO CENOURA C/COBERTURA - 350g,,PRODUTO
4130,BOLO REDONDO CENOURA UN - 280g,,PRODUTO
4498,BOLO REDONDO CHOCOLATE C/COBERTURA - 350g,,PRODUTO
4043,BOLO REDONDO CHOCOLATE UN - 280g,,PRODUTO
5068,BOLO REDONDO CHURROS C/ COBERTURA - 1,,PRODUTO
2102,BOLO REDONDO CHURROS C/COBERTURA UN - 300g,,PRODUTO
4533,BOLO REDONDO COCO C/COBERTURA - 350g,,PRODUTO
4045,BOLO REDONDO COCO UN - 280g,,PRODUTO
4044,BOLO REDONDO FORMIGUEIRO UN - 280g,,PRODUTO
4186,BOLO REDONDO FUBA UN - 280g,,PRODUTO
4047,BOLO REDONDO LARANJA UN - 280g,,PRODUTO
4131,BOLO REDONDO LEITE CONDENSADO UN - 280g,,PRODUTO
2089,BOLO REDONDO LIMAO C/COBERTURA UN - 300g,,PRODUTO
4137,BOLO REDONDO LIMAO UN - 280g,,PRODUTO
4160,BOLO REDONDO MILHO UN - 280g,,PRODUTO
4168,BOLO REDONDO NEUTRO UN - 280g,,PRODUTO
2910,BROWNIE DE CHOCOLATE C/COBERTURA UN - 180g,,PRODUTO
2938,BROWNIE DE CHOCOLATE TRADICIONAL UN - 180g,,PRODUTO
8176,COELHO RECHEADO DE BRIGADEIRO UN - 300g,,PRODUTO
8282,COOKIES C/CREME DE AVELA UN 240G - 240g,,PRODUTO
2577,COOKIES CHOCOLATE ALVORADA UN  - 170g,,PRODUTO
2578,COOKIES TRADICIONAL ALVORADA UN  - 170g,,PRODUTO
9355,DONUTS SABORES UN - 90g,,PRODUTO
2596,ANTEPASTO ALVORADA UN - 400g,,CONFEITARIA
2908,BOLO ARTESANAL BRIGADEIRO UN  - 250g,,CONFEITARIA
2116,BOLO CONF. SABORES  900 gr - 900g,,PRODUTO
