Item,Descrição,Embalagem,TIPO
2252,PAO DE HAMBURGUER TRADICIONAL C/4UN - 260g,,PRODUTO
2598,PAO DE HOT DOG C/4UN - 270g,,PRODUTO
2558,PAO DE MILHO TRADICIONAL C/4UN - 260g,,PRODUTO
2173,PAO SOVADO ALVORADA UN  - 475g,,PRODUTO
2906,PAULISTINHA CD C/5 UN - 200g,,PRODUTO
3932,ROSCA DA FAZENDA C/ACUCAR UN - 300g,,PRODUTO
2391,ROSCA DA FAZENDA UN 300G - 300g,,PRODUTO
2494,ROSCA DE LEITE CONDENSADO CD C/3 UN - 180g,,PRODUTO
2824,ROSCA LISA C/4 UN - 200g,,PRODUTO
2174,ROSCA RAINHA ALVORADA UN - 300g,,PRODUTO
4350,ROSCA RAINHA C/CREME UN - 300g,,PRODUTO
4491,ROSQUINHA C/ACUCAR C/4UN - 250g,,PRODUTO
4467,ROSQUINHA C/CREME C/4UN - 300g,,PRODUTO
5378,BAGUETE ITALIANA UN - 350g,,PRODUTO
7733,BAGUETE LEVAIN CALABRESA KG - 1,,PRODUTO
2004,BAGUETE LEVAIN CALABRESA UN - 200g,,PRODUTO
7746,BAGUETE LEVAIN GERGELIM UN - 200g,,PRODUTO
7735,BAGUETE LEVAIN TRADICIONAL UN - 200g,,PRODUTO
3976,CIABATTA C/AZEITONA KG - 1,,PRODUTO
2032,CIABATTA C/AZEITONA UN - 200g,,PRODUTO
3968,CIABATTA C/CALABRESA UN - 200g,,PRODUTO
3966,CIABATTA C/TOMATE SECO KG - 1,,PRODUTO
2034,CIABATTA C/TOMATE SECO UN - 200g,,PRODUTO
2917,CROISSANT ALVORADA UN - 60g,,PRODUTO
2383,CROISSANT DE FRANGO UN - 100g,,PRODUTO
2900,CROISSANT PRESUNTO E QUEIJO ALVORADA UN - 120g,,PRODUTO
3531,PAO DE GRAOS LEVAIN UN CD - 200g,,PRODUTO
4730,PAO FRANCES INTEGRAL ALVORADA KG - 1,,PRODUTO
6980,PAO ITALIANO LEVAIN UN CD - 200g,,PRODUTO
1936,PAO LEVAIN CACAU C/ LARANJA UN  - 200g,,PRODUTO
2532,PAO LEVAIN CIABATTA C/2 CONG. ALVORADA - 200g,,PRODUTO
3970,PAO LEVAIN CUPIAC UN - 200g,,PRODUTO
2061,PAO LEVAIN FOCACCIA CONG. KG - 1,,PRODUTO
2535,PAO LEVAIN FOCACCIA CONG.UN - 200g,,PRODUTO
2499,PAO LEVAIN ITALIANO BOLA C/2 CONG.UN - 200g,,PRODUTO
3980,PAO LEVAIN ITALIANO KG - 1,,PRODUTO
2059,PAO LEVAIN ITALIANO UN - 200g,,PRODUTO
3977,PAO LEVAIN MINEIROCA KG - 1,,PRODUTO
2060,PAO LEVAIN MINEIROCA UN - 200g,,PRODUTO
2581,PAO LEVAIN MINI BAGUETE C/2UN CONG - 200g,,PRODUTO
2080,PAO LEVAIN NOZES C/MEL KG - 1,,PRODUTO
3978,PÃO LEVAIN BRAGA UN - 200g,,PRODUTO
3969,PÃO LEVAIN CAMPANHA UN - 200g,,PRODUTO
2524,PÃO LEVAIN NOZES C/ MEL UN  - 200g,,PRODUTO
2691,ASSADO DE SALSICHA ALVORADA UN - 100g,,PRODUTO
4562,CIGARRETE UN CD - 130g,,PRODUTO
866,COXINHA DE FRANGO ALVORADA UN - 100g,,PRODUTO
2542,COXINHA DE FRANGO C/REQUEIJAO GRANDE UN  - 100g,,PRODUTO
1902,COXINHA DE FRANGO GRANDE UN - 100g,,PRODUTO
8607,DADINHO DE TAPIOCA KG - 1,,PRODUTO
2515,DOGUINHO C.D. ALVORADA KG - 1,,PRODUTO
2394,EMPADA DE CARNE SECA UN - 100g,,PRODUTO
1886,EMPADA DE FRANGO UN - 100g,,PRODUTO
2393,EMPADA DE PALMITO UN  - 100g,,PRODUTO
4819,ESFIHA ABERTA 4 QUEIJOS UN - 200g,,PRODUTO
4818,ESFIHA ABERTA DE CARNE UN - 200g,,PRODUTO
2629,ESFIHA ABERTA DE FRANGO C/REQUEIJAO UN - 200g,,PRODUTO
2599,ESFIHA FECHADA DE CARNE UN - 100g,,PRODUTO
2624,ESFIHA FECHADA DE FRANGO C/REQUEIJAO UN - 100g,,PRODUTO
8443,FAROFA ALVORADA KG - 1,,PRODUTO
5352,MINI EMPADA DE FRANGO ALVORADA C/6 UN - 280g,,PRODUTO
2198,MINI EMPADINHA ALVORADA KG - 1,,PRODUTO
5369,MISTO PRESUNTO E QUEIJO UN - 200g,,PRODUTO
2674,PASTEL ASSADO DE CARNE ALVORADA UN - 1un,,PRODUTO
2678,PASTEL ASSADO DE FRANGO UN - 1un,,PRODUTO
267250,PASTEL DE FARINHA DE MILHO CARNE 100g - 100g,,PRODUTO
267251,PASTEL DE FARINHA DE MILHO QUEIJO 100g - 100g,,PRODUTO
8406,PASTEL DE MILHO CARNE KG - 1,,PRODUTO
8408,PASTEL DE MILHO PIZZA KG - 1,,PRODUTO
8407,PASTEL DE MILHO QUEIJO KG - 1,,PRODUTO
6049,PATE DE FRANGO C/ ABACAXI UN - 400g,,PRODUTO
2534,PATE DE FRANGO C/ CENOURA UN - 400g,,PRODUTO
2154,PATE DE QUATRO QUEIJOS UN - 400g,,PRODUTO
2197,PURURUCA UN - 100g,,PRODUTO
2496,QUIBE DE CARNE GRANDE UN - 100g,,PRODUTO
5291,TORTA DE FRANGO C/CATUPIRY KG - 1,,PRODUTO
8439,VINAGRETE ALVORADA KG - 1,,PRODUTO
266399,ALÇA 5L - 1un,,MATERIA PRIMA
267977,APARADOR RETO 128X50 PETG 3MM - 1un,,MATERIA PRIMA
171482,BAND. PLAST. P/COLOMBA G34 (LINHA 247) - 100un,,MATERIA PRIMA
228388,BANDEJA M-03  (LINHA 247) - 1un,,MATERIA PRIMA
224862,CAIXA PANETTONE (LINHA 247) - 1un,,MATERIA PRIMA
224861,CAIXA PANETTONE C/GOTAS (LINHA 247) - 1un,,MATERIA PRIMA
226429,DISCO DE ISOPOR P/PIZZA 30CM (LINHA 247) - 1un,,MATERIA PRIMA
231456,DISCO ISOPOR 18CM (LINHA 247) - 1un,,MATERIA PRIMA
227255,DISCO P/PIZZA 15CM (LINHA 247) - 1un,,MATERIA PRIMA
259173,EMB DELPACK R50 PRETA (LINHA 247) - UN,,MATERIA PRIMA
237143,EMB DELPACK R85 (LINHA 247) - 1un,,MATERIA PRIMA
257485,EMB DELPAK D100 PRETA (LINHA 247) - 1un,,MATERIA PRIMA
257837,EMB DELPAK D76 (LINHA 247) - 1un,,MATERIA PRIMA
257484,EMB DELPAK D77 PRETA (LINHA 247) - 1un,,MATERIA PRIMA
225647,EMB DELPAK K170 (LINHA 247) - UN,,MATERIA PRIMA
263630,EMB G-10 DONUTS (LINHA 247) - 1,,MATERIA PRIMA
257023,"EMB GELO 25X35 1,5KG ( LINHA 247) - UN",,MATERIA PRIMA
226787,EMB PIZZA S/TAMPA DESPESA (LINHA 247) - 1un,,MATERIA PRIMA
236443,"EMB VERDE 23,5X50 (LINHA 247) - 1un",,MATERIA PRIMA
226213,EMB.  28X46 GELO 3KG (LINHA 247) - 1,,MATERIA PRIMA
73733,EMB. G-732 PADARIA (LINHA 247) - UN,,MATERIA PRIMA
223564,EMB. M-58 (LINHA 247) - 1un,,MATERIA PRIMA
262987,EMB. MEI 105 - 500ML (LINHA 247) - 1un,,MATERIA PRIMA
174506,EMB. MEI 105 250ML (LINHA 247) - 1UN,,MATERIA PRIMA
225644,EMB. MEI-105 - 700ML (LINHA 247) - 1un,,MATERIA PRIMA
228106,EMB. MEI-160 900ML (LINHA 247) - 1,,MATERIA PRIMA
66250,EMB. MP-15 ALTA (LINHA 247) - UN,,MATERIA PRIMA
227303,EMB. MP-3R BOLO GOURMET (LINHA 247) - UN,,MATERIA PRIMA
226275,EMB. PALITO TRES QUEIJOS (LINHA 247) - 400g,,MATERIA PRIMA
226274,EMB. PAO DE QUEIJO COQUETEL (LINHA 247) - 400g,,MATERIA PRIMA
226273,EMB. PAO DE QUEIJO LANCHE (LINHA 247) - 1kg,,MATERIA PRIMA
226272,EMB. PAO DE QUEIJO TRAD (LINHA 247) - 1kg,,MATERIA PRIMA
226270,EMB. PAO DE QUEIJO TRAD (LINHA 247) - 400g,,MATERIA PRIMA
227332,EMB. PAPEL ALUMINIO (LINHA 247) - 1un,,MATERIA PRIMA
227301,EMB. POTE P13 (LINHA 247) - 1un,,MATERIA PRIMA
226747,EMB. PUDIM GRANDE (LINHA 247) - 1un,,MATERIA PRIMA
227553,EMB. PUDIM MEDIO (LINHA 247) - 250un,,MATERIA PRIMA
226746,EMB. PUDIM PEQUENA (LINHA 247) - 1un,,MATERIA PRIMA
237819,EMBAL DELPACK D90 (LINHA 247) - 1un,,MATERIA PRIMA
237817,EMBAL DELPACK PRATO 08 BRANC TP F CX-200 - 1un,,MATERIA PRIMA
236168,EMBAL DELPACK PRATO 09 BRANCA TP FILME - 1un,,MATERIA PRIMA
237818,EMBAL DELPACK PRATO 10 BRANC TP F CX-200 - 1un,,MATERIA PRIMA
88338,EMBALAGEM - 1un,,MATERIA PRIMA
236450,EMBALAGEM G-650 (LINHA 247) - 1un,,MATERIA PRIMA
236749,EMBALAGEM G-680 MOUSSE (LINHA 247) - 1un,,MATERIA PRIMA
236893,EMBALAGEM P64 (LINHA 247) - 1un,,MATERIA PRIMA
261870,ETIQUETA BOPP 60X110 (LINHA 247) - 1un,,MATERIA PRIMA
135309,ETIQUETA BOPP 60X40 (LINHA 247) - 1,,MATERIA PRIMA
266484,FILME POLIOLEFINICO (LINHA 247) - 1kg,,MATERIA PRIMA
233105,FORMA COLOMBA  (LINHA 247) - 50un,,MATERIA PRIMA
266819,FORMA ESPECIAL TRAD 250G (LINHA 247) - 1un,,MATERIA PRIMA
259854,FORMA INGLES P/ BOLO (LINHA 247) - 1un,,MATERIA PRIMA
223447,FORMA P/EMPADA 45ML (LINHA 247) - 1un,,MATERIA PRIMA
223446,FORMA P/EMPADA 80ML (LINHA 247) - 1un,,MATERIA PRIMA
223501,FORMA P/PANETTONE 500G (LINHA 247) - 1un,,MATERIA PRIMA
236452,FORMA P/PANETTONE DECORADA (LINHA 247) - 1un,,MATERIA PRIMA
224904,FORMA PANETTONE 100G (LINHA 247) - 1un,,MATERIA PRIMA
225303,FORMA PANETTONE 1KG (LINHA 247) - UN,,MATERIA PRIMA
244249,G - 220 C/100  247 - EMB. PADARIA CD - 1,,MATERIA PRIMA
258692,G 240 (LINHA 247)  - 1un,,MATERIA PRIMA
266851,G 32 CONTEMPORANEA (LINHA 247) - 1un,,MATERIA PRIMA
229175,G-32 MEDIA (LINHA 247) - 1un,,MATERIA PRIMA
222768,G-33 EMBALAGEM (LINHA 239) - 1,,MATERIA PRIMA
209479,G-35 ALTA (LINHA 247) - 1un,,MATERIA PRIMA
224402,G-50 (LINHA 247) - 1 UN,,MATERIA PRIMA
226731,G-62M BOLOS ART. (LINHA 247) - 1un,,MATERIA PRIMA
226773,G-62S BROWNIE (LINHA 247) - 1un,,MATERIA PRIMA
269376,G230 FORN PIZZA PR30CM (LINHA 247) - 1un,,MATERIA PRIMA
266850,G32 MINI TORTA ALTA (LINHA 247) - 1un,,MATERIA PRIMA
266397,GARRAFA 5L CRISTAL ROSCA BAIXA - 1un,,MATERIA PRIMA
225840,HM 06 C/TAMPA (LINHA 247) - 150un,,MATERIA PRIMA
226369,HM-06 PEQUENA C/TP TRANSP. (LINHA 247) - 1un,,MATERIA PRIMA
113292,PAPEL MANTEIGA (PADARIA)  - 400un,,MATERIA PRIMA
263628,RIBBOM (LINHA 247) - 1kg,,MATERIA PRIMA
266820,ROTULO ALVORADA SIMPLES (LINHA 247) - 1un,,MATERIA PRIMA
226414,SACO BD 40X60 (LINHA 247) - KG,,MATERIA PRIMA
236994,SACO BD BAGUETE 12X50 (LINHA 247) - 1kg,,MATERIA PRIMA
233713,SACO CONFEITAR DESCARTAVEL (LINHA 247) - 1un,,MATERIA PRIMA
2897,SACO PLASTICO 20X30 P/ LEVAIN (LINHA247) - UN,,MATERIA PRIMA
236995,SACO PLASTICO BD 25X46 (LINHA 247) - 1kg,,MATERIA PRIMA
237711,SACO PLASTICO BD 30X30 (LINHA 239) - 1kg,,MATERIA PRIMA
261614,SACO PLASTICO BD 50X60 KG (LINHA 247) - 1kg,,MATERIA PRIMA
225645,SACO PP 15X30 (LINHA 247) - 1un,,MATERIA PRIMA
222242,SACO PP 20X30 (LINHA 247) - 1000,,MATERIA PRIMA
226248,SACO PP 20X35 (LINHA 247) - UN,,MATERIA PRIMA
229072,SACO PP 23X40 (LINHA 247) - 1un,,MATERIA PRIMA
159867,SACO PP 23X40 MAQUINA (LINHA 247) - 1 un,,MATERIA PRIMA
208953,SACO PP 24X50 (LINHA 247) - 1un,,MATERIA PRIMA
66632,SACO PP 25 X 35 (LINHA 247) - 1un,,MATERIA PRIMA
233245,SACO PP 35X35 (LINHA 247) - 1un,,MATERIA PRIMA
259132,SACO PP TRANSP. 23X50 SANF. (LINHA 247) - MI,,MATERIA PRIMA
2907,SACO VERDE P/ PIZZA 34X37 (LINHA 247) - UN,,MATERIA PRIMA
268519,SACOS PE 15X50 PAO C/FERMENTAÇAO NATURAL - 1kg,,MATERIA PRIMA
266774,SACOS PE 30X40 (LINHA 247) - 1un,,MATERIA PRIMA
225302,SACOS PLASTICO BD 25X40 (LINHA 247) - 1kg,,MATERIA PRIMA
224903,SAQUINHO CHOCOTTONE 100G (LINHA 247) - UN,,MATERIA PRIMA
226271,SAQUINHO PANETONE C/GOTA CHOC(LINHA 247) - 400g,,MATERIA PRIMA
226276,SAQUINHO PANETONE TRAD 24.8X35(LINHA247) - 400g,,MATERIA PRIMA
224902,SAQUINHO PANETTONE 100G (LINHA 247) - UN,,MATERIA PRIMA
226212,SAQUINHO SALGADO CONG DE 1KG (LINHA 247) - KG,,MATERIA PRIMA
225129,SAQUNHO PANETONE VERMELHO 400G(LINHA247) - 1un,,MATERIA PRIMA
236169,SOBRETAMPA MEI-105 (LINHA 247) - 1,,MATERIA PRIMA
262988,TAMPA BOLO INGLES (LINHA 247) - 1un,,MATERIA PRIMA
226786,TAMPA FILME PIZZA (LINHA 247) - 1un,,MATERIA PRIMA
223565,TAMPA P/EMB. M-58 TRANSP. (LINHA 247) - 1un,,MATERIA PRIMA
266398,TAMPA ROSCA BAIXA (LINHA 247) - 1un,,MATERIA PRIMA
225204,ACUCAR DOCUCAR (LINHA 404) - 1kg,,MATERIA PRIMA
69593,ACUCAR IMPALPAVEL (LINHA 404) - 1kg,,MATERIA PRIMA
224267,ACUCAR MASCAVO (LINHA 404) - 1kg,,MATERIA PRIMA
225529,ACUCAR REFINADO (LINHA 404) - 1kg,,MATERIA PRIMA
257136,ARROZ PRODUCAO (LINHA 404) - 1kg,,MATERIA PRIMA
222762,AÇUCAR PRODUÇAO (LINHA 404)  - 1kg,,MATERIA PRIMA
224860,BANHA SUINA (LINHA 404)  - 1kg,,MATERIA PRIMA
159408,FARINHA COLHEITA SELEC. (PADARIA MIX) - 1kg,,MATERIA PRIMA
259135,FEIJAO TROPEIRO PADARIA (LINHA 404) - KG,,MATERIA PRIMA
269094,GANACHE SPECULOOS BALDE (LINHA 406) - 1kg,,MATERIA PRIMA
226696,GLICOSE (LINHA 404) - 1kg,,MATERIA PRIMA
4638,MACARRAO PAPPARDELLE PADARIA (LINHA 404) - KG,,MATERIA PRIMA
222761,OLEO DE SOJA PRODUCAO (LINHA 404) - 900ml,,MATERIA PRIMA
264329,OVO PAINEIRAS - 1un,,MATERIA PRIMA
222763,SAL PRODUCAO (LINHA 404) - 1kg,,MATERIA PRIMA
269335,ATUM PRODUÇAO (LINHA 405) - 1kg,,MATERIA PRIMA
223504,BACALHAU LASCA PRODUCAO (LINHA 405) - 1kg,,MATERIA PRIMA
226804,BACON PRODUCAO (LINHA 405) - 1kg,,MATERIA PRIMA
7827,CARNE BOVINA MIOLO ALCATRA (LINHA 405) - 1,,MATERIA PRIMA
222760,CARNE BOVINA PATINHO (LINHA 405) - 1un,,MATERIA PRIMA
225152,CARNE SECA (LINHA 405)  - 1kg,,MATERIA PRIMA
66050,COXA E SOBRECOXA KG (LINHA 405) - KG,,MATERIA PRIMA
7849,FILE DE PEITO FRANGO PRODUCAO (LINHA405) - 1kg,,MATERIA PRIMA
224198,FILEZINHO DE FRANGO SASSAMI (LINHA 405) - 1kg,,MATERIA PRIMA
226805,LINGUICA CALABRESA PRODUCAO (LINHA 405) - 1kg,,MATERIA PRIMA
259137,LINGUICA DEF FININHA PADARIA (LINHA 405) - 1,,MATERIA PRIMA
230298,LOMBO DEFUMADO (LINHA 405) - 1kg,,MATERIA PRIMA
259339,LOMBO SUINO (LINHA 405) - 1kg,,MATERIA PRIMA
222609,PRESUNTO PRODUCAO (LINHA 405) - 1kg,,MATERIA PRIMA
173304,SALSICHA PADARIA (LINHA 405) - KG,,MATERIA PRIMA
225405,ACHOC. NESCAU (LINHA 406) - 1kg,,MATERIA PRIMA
2214,ACUCAR CONFEITEIRO GELADO (LINHA 406) - KG,,MATERIA PRIMA
225236,BARRA DE CHOCOLATE BRANCO (LINHA 406) - 1kg,,MATERIA PRIMA
234568,BARRA DE CHOCOLATE MEIO AMARGO (L 406) - 1kg,,MATERIA PRIMA
228389,BISCOITO MAIZENA (LINHA 406) - 1kg,,MATERIA PRIMA
228390,BOMBOM OURO BRANCO (LINHA 406) - 1kg,,MATERIA PRIMA
226699,CALDA P/ PUDIM (LINHA 406) - 1kg,,MATERIA PRIMA
257853,CALDA PASTRY PRIDE UHT (LINHA 406) - 1L,,MATERIA PRIMA
257020,CASTANHA DE CAJU GRANULADA KG(LINHA 316) - 1kg,,MATERIA PRIMA
2551,CEREJA MARRASCHINO (LINHA 406) - KG,,MATERIA PRIMA
226695,CHOC. EM PO 50% (LINHA 406) - 1kg,,MATERIA PRIMA
269679,CHOC. GRANULE CHOC. AO LEITE (LINHA 406) - 400g,,MATERIA PRIMA
223485,CHOCOLATE GRANULADO (LINHA 406) - 1kg,,MATERIA PRIMA
223503,COCO EM FLOCOS (LINHA 406) - 1kg,,MATERIA PRIMA
266566,COCO RALADO DESID. S/ACUCAR (LINHA 406) - 1kg,,MATERIA PRIMA
257847,COOKIES GRAN BAUN. VABENE (LINHA 406) - 1kg,,MATERIA PRIMA
257848,COOKIES GRAN MORAN VABENE (LINHA 406) - 1kg,,MATERIA PRIMA
266465,CORANTE ROXO AÇAI - 1kg,,MATERIA PRIMA
266416,DEXTROSE ANHYDROUS LI 02410 - 1kg,,MATERIA PRIMA
226745,DOCE DE LEITE (LINHA 406) - 1kg,,MATERIA PRIMA
223483,GANACHE CHOC. MEIO AMARGO (LINHA 406) - 1kg,,MATERIA PRIMA
223484,GANACHE CHOCOLATE BRANCO (LINHA 406) - 1kg,,MATERIA PRIMA
257846,GANACHE M/ AMARGO VABENE (LINHA406) - 1kg,,MATERIA PRIMA
227017,GELATINA S/SABOR (LINHA 406) - 1kg,,MATERIA PRIMA
267096,GELEIA MARACUJA (LINHA 406) - 1kg,,MATERIA PRIMA
266415,GLUCOSE EM PO MOREX 1940 - 1kg,,MATERIA PRIMA
223502,GOTAS DE CHOCOLATE (LINHA 406) - 1kg,,MATERIA PRIMA
224400,LACREMA CARAMELO (LINHA 406) - 1kg,,MATERIA PRIMA
263629,LACREMA SABORES (LINHA 406) - 1kg,,MATERIA PRIMA
266418,LIGA NEUTRA STARMIX G2 - 1kg,,MATERIA PRIMA
266417,MALTODEXTRINA MOR REX 1920 - 1kg,,MATERIA PRIMA
266442,POLPA DE AÇAI (PRODUÇAO) - 1L,,MATERIA PRIMA
257854,RECH CREME MORANGO VABENE (LINHA 406) - 1kg,,MATERIA PRIMA
257852,RECH MORANGO FORN. VABENE (LINHA 406) - 1kg,,MATERIA PRIMA
257855,RECH. COB. LEITE COND. MOCA (LINHA 406) - 1kg,,MATERIA PRIMA
234569,RECHEIO ART CREME LEITINHO (LINHA 406) - KG,,MATERIA PRIMA
259752,RECHEIO BRIGADEIRO RICHS (LINHA 406) - 1kg,,MATERIA PRIMA
235721,RECHEIO CHOC C/AVELA RICHS BAG(LINHA406) - 1kg,,MATERIA PRIMA
256749,RECHEIO CONG. 4 LEITES KG (LINHA 406) - 4Kg,,MATERIA PRIMA
256752,RECHEIO CONG. COCO KG (LINHA 406) - 4kg,,MATERIA PRIMA
256748,RECHEIO CONG. MEIO AMARGO (LINHA 406) - 4kg,,MATERIA PRIMA
256751,RECHEIO CONG. NOZES KG (LINHA 406) - 4kg,,MATERIA PRIMA
257849,RECHEIO CREME BUENO VABENE (LINHA 406) - 1kg,,MATERIA PRIMA
257843,RECHEIO CREME DE AVELA (LINHA 406) - 1kg,,MATERIA PRIMA
266414,STARGEL PRO BALDE - 1kg,,MATERIA PRIMA
256750,SUCO LIMAO KG (LINHA 406) - 34g,,MATERIA PRIMA
266441,XAROPE DE GUARANA - 1L,,MATERIA PRIMA
223976,ANTIMOFO LIQUIDO (LINHA 407) - 1L,,MATERIA PRIMA
225556,EMULPALS (LINHA 407) - kg,,MATERIA PRIMA
237872,EMULSIFICANTE VOLUMEX (LINHA 407) - 1kg,,MATERIA PRIMA
227143,ESSENCIA BAUNILHA (LINHA 407) - 1L,,MATERIA PRIMA
5525,ESSENCIA QUEIJO (LINHA 407) - 1LT,,MATERIA PRIMA
256062,FERMENTO INST SALGADO (LINHA 407) - 500g,,MATERIA PRIMA
223612,FERMENTO INST. DOCE (LINHA 407)  - KG,,MATERIA PRIMA
226706,FERMENTO QUIMICO (LINHA 407) - 1un,,MATERIA PRIMA
223500,PROPIONATO CALCIO CRISTAL (LINHA 407) - 1kg,,MATERIA PRIMA
225813,REFORCADOR ZEA EMULZINT 500g (LINHA 407) - 500g,,MATERIA PRIMA
223974,SORBATO DE POTASSIO (LINHA 407) - 1kg,,MATERIA PRIMA
222802,TOLDRY (LINHA 407) - 1kg,,MATERIA PRIMA
222910,UNTA FORMAS (LINHA 407) - 1kg,,MATERIA PRIMA
227552,CHANTILY CHOCOLATE (LINHA 408) - 1kg,,MATERIA PRIMA
227194,CHANTILY NATA (LINHA 408) - KG,,MATERIA PRIMA
135764,CREME CULINARIO LIQUIDO (LINHA 408)  - 1L,,MATERIA PRIMA
222615,LEITE CONDENSADO (LINHA 408) - 1kg,,MATERIA PRIMA
257719,LEITE CONDENSADO MOCA (LINHA 408) - 1kg,,MATERIA PRIMA
225407,LEITE DE COCO (LINHA 408) - KG,,MATERIA PRIMA
226704,LEITE INTEGRAL (LINHA 408) - 1L,,MATERIA PRIMA
226698,MANTEIGA P/CROISSANT S/SAL (LINHA 408) - 1kg,,MATERIA PRIMA
222253,MARGARINA 80% LIPIDIOS (LINHA 408) - 1kg,,MATERIA PRIMA
236927,QUEIJO MEIA CURA (LINHA 408) - 1kg,,MATERIA PRIMA
222610,QUEIJO MUCARELA (LINHA 408) - 1kg,,MATERIA PRIMA
1690,QUEIJO PARMESAO (LINHA 408) - 1kg,,MATERIA PRIMA
209201,QUEIJO PROVOLONE (LINHA 408) - 1kg,,MATERIA PRIMA
222256,"REQUEIJAO CREMOSO (LINHA 408) - 1,8kg",,MATERIA PRIMA
222803,AMIDO DE MILHO (LINHA 409) - 1kg,,MATERIA PRIMA
222542,AMIDO PODIUM ESP. 3615 (LINHA 409) - 1kg,,MATERIA PRIMA
222251,BATATA EM FLOCOS (LINHA 409) - 20kg,,MATERIA PRIMA
222248,COMPOSTO LACTEO (LINHA 409) - 1kg,,MATERIA PRIMA
259136,FARINHA DE MANDIOCA PADARIA (LINHA 409) - KG,,MATERIA PRIMA
222431,FARINHA DE ROSCA (LINHA 409) - 25kg,,MATERIA PRIMA
255346,FARINHA DE TRIGO BAGATELE T45(LINHA 409) - 1kg,,MATERIA PRIMA
237415,FARINHA DE TRIGO BAGATELE T65 (LINHA409) - 1kg,,MATERIA PRIMA
222252,FARINHA DE TRIGO BIANCA ESP (LINHA 409) - 1kg,,MATERIA PRIMA
228720,FARINHA DE TRIGO BIANCA MASSA AZ (L 409) - 1kg,,MATERIA PRIMA
225926,FARINHA DE TRIGO COLHEITA (LINHA 409) - 1kg,,MATERIA PRIMA
210820,FARINHA DE TRIGO P/ SALGADOS (LINHA 409) - 1kg,,MATERIA PRIMA
235713,FARINHA TRIGO AGUA BRANCA INT (LINH 409) - KG,,MATERIA PRIMA
211606,FUBA MIMOSO (LINHA 409) - 1kg,,MATERIA PRIMA
269726,MASSA P/PASTEL - 1kg,,MATERIA PRIMA
267886,MIST PAO INTEGRAL MAXI (LINHA 409) - 1kg,,MATERIA PRIMA
226702,MIST. P/ PAO DE QUEIJO PQR 6520 (L 409) - KG,,MATERIA PRIMA
224401,PM PAO FRANCES INTEGRAL (LINHA 409) - 1kg,,MATERIA PRIMA
227253,POLVILHO AZEDO (LINHA 409) - 1kg,,MATERIA PRIMA
222430,TRIGO P/QUIBE (LINHA 409) - 5KG,,MATERIA PRIMA
269093,VPT CONC ORIGINALLE RUST (LINHA 409) - 1kg,,MATERIA PRIMA
269100,VPT SONHO (LINHA 409) - 1kg,,MATERIA PRIMA
4542,AJINOMOTO KG (LINHA 316) - 1,,MATERIA PRIMA
9329,POLVILHO AZEDO SF KG - 1,,MATERIA PRIMA
8170,POLVILHO DOCE- FECULA DE MANDIOCA KG - 1,,MATERIA PRIMA
1858,QUEIJO CANASTRA (LINHA 321) KG - 1,,MATERIA PRIMA
222734,SEMENTE DE ABOBORA (LINHA 316)  - 1kg,,MATERIA PRIMA
225290,SEMENTE DE LINHACA MARRON KG CD - 1kg,,MATERIA PRIMA
2194,VINAGRE (LINHA 316) - 1L,,MATERIA PRIMA
223457,FRUTAS CRISTALIZADAS (LINHA 411) - 1kg,,MATERIA PRIMA
257018,MIST BOLO CREM ABOBORA C/COCO(LINHA 411) - 1kg,,MATERIA PRIMA
236357,MIST P/ BOLO RED VELVET (LINHA 411) - KG,,MATERIA PRIMA
226700,MIST. CREME CONFEITEIRO (LINHA 411) - 1kg,,MATERIA PRIMA
64831,MIST. P/PAO FRANCES INTEGRAL - 1kg,,MATERIA PRIMA
226511,MP BOLO ABACAXI SECO (LINHA 411) - 1kg,,MATERIA PRIMA
226306,MP BOLO CENOURA SECO (LINHA 411) - 1kg,,MATERIA PRIMA
225815,MP BOLO CHOCOLATE SECO (LINHA 411) - 1kg,,MATERIA PRIMA
224992,MP BOLO COCO SECO (LINHA 411) - 1kg,,MATERIA PRIMA
224404,MP BOLO CREMOSO ABACAXI (LINHA 411) - 1kg,,MATERIA PRIMA
223497,MP BOLO CREMOSO AIPIM (LINHA 411) - 1kg,,MATERIA PRIMA
224268,MP BOLO CREMOSO BANANA/GRANOLA (L 411) - 1kg,,MATERIA PRIMA
223491,MP BOLO CREMOSO CACAROLA (LINHA 411) - 1kg,,MATERIA PRIMA
224403,MP BOLO CREMOSO CENOURA (LINHA 411) - 1kg,,MATERIA PRIMA
223496,MP BOLO CREMOSO CHOCOLATE (LINHA 411) - 1kg,,MATERIA PRIMA
223494,MP BOLO CREMOSO CHURROS (LINHA 411) - 1kg,,MATERIA PRIMA
223495,MP BOLO CREMOSO COCO (LINHA 411) - 1kg,,MATERIA PRIMA
223493,MP BOLO CREMOSO LARANJA (LINHA 411) - 1kg,,MATERIA PRIMA
257350,MP BOLO CREMOSO LEITE CONDEN (LINHA 411) - 1kg,,MATERIA PRIMA
267097,MP BOLO CREMOSO MARACUJA (LINHA 411) - 1kg,,MATERIA PRIMA
223498,MP BOLO CREMOSO MILHO (LINHA 411) - 1kg,,MATERIA PRIMA
228139,MP BOLO FUBA SECO (LINHA 411) - 1kg,,MATERIA PRIMA
224993,MP BOLO LARANJA SECO (LINHA 411) - 1kg,,MATERIA PRIMA
